 IDnum	freq	P(case)	P(+incident)
1076	1	0.111228	0
1077	1	0.0167767	1
1078	1	0.0300151	1
1079	1	0.120852	0
1080	1	0.101075	0
1081	1	0.0444775	1
1082	1	0.133493	1
1083	1	0.0300151	1
1084	1	0.111228	0
1085	1	0.133493	1
1086	1	0.107614	0
1087	1	0.107614	0
1088	1	0.133493	1
1089	1	0.120852	0
1090	1	0.133493	1
1091	1	0.113377	1
1092	1	0.110914	1
1093	1	0.133493	1
1094	1	0.120852	0
1095	1	0.110914	1
1096	1	0.107614	0
1097	1	0.101075	0
1098	1	0.107614	0
1099	1	0.120852	0
1100	1	0.110914	1
1101	1	0.107614	0
1102	1	0.0300151	1
1103	1	0.110914	1
1104	1	0.120852	0
1105	1	0.0444775	1
1106	1	0.110914	1
1107	1	0.133493	1
1108	1	0.107614	0
1109	1	0.133493	1
1110	1	0.133493	1
1111	1	0.107614	0
1112	1	0.0167767	1
1113	1	0.133493	1
1114	1	0.107614	0
1115	1	0.113377	1
1116	1	0.111228	0
1117	1	0.0444775	1
1118	1	0.110914	1
1119	1	0.101075	0
1120	1	0.0444775	1
1121	1	0.107614	0
1122	1	0.1049	0
1123	1	0.133493	1
1124	1	0.110914	1
1125	1	0.133493	1
1126	1	0.107614	0
1127	1	0.1049	0
1128	1	0.120852	0
1129	1	0.120852	0
1130	1	0.107614	0
1131	1	0.133493	1
1132	1	0.0300151	1
1133	1	0.111228	0
1134	1	0.1049	0
1135	1	0.110914	1
1136	1	0.120852	0
1137	1	0.120852	0
1138	1	0.110914	1
1139	1	0.133493	1
1140	1	0.113377	1
1141	1	0.133493	1
1142	1	0.113377	1
1143	1	0.113377	1
1144	1	0.107614	0
1145	1	0.110914	1
1146	1	0.133493	1
1147	1	0.1049	0
1148	1	0.101075	0
1149	1	0.133493	1
1150	1	0.133493	1
1151	1	0.120852	0
1152	1	0.1049	0
1153	1	0.1049	0
1154	1	0.120852	0
1155	1	0.107614	0
1156	1	0.133493	1
1157	1	0.133493	1
1158	1	0.113377	1
1159	1	0.101075	0
1160	1	0.120852	0
1161	1	0.133493	1
1162	1	0.110914	1
1163	1	0.113377	1
1164	1	0.107614	0
1165	1	0.110914	1
1166	1	0.110914	1
1167	1	0.107614	0
1168	1	0.133493	1
1169	1	0.113377	1
